participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P09,wrist-worn,0,180,70,223.94,9152,43.94,0,5,5
P09,wrist-worn,1,0,100,87.61,9350,87.61,0,4,3
P09,wrist-worn,2,90,70,199.97,9272,109.97,0,4,2
P09,wrist-worn,3,180,100,184.82,8133,4.82,1,6,6
P09,wrist-worn,4,90,100,191.34,20109,101.34,0,4,2
P09,wrist-worn,5,225,70,228.73,7898,3.73,1,5,5
P09,wrist-worn,6,225,100,129.65,7864,95.35,0,5,5
P09,wrist-worn,7,135,70,108.29,8341,26.71,1,6,6
P09,wrist-worn,8,270,70,214.57,8499,55.43,0,4,3
P09,wrist-worn,9,315,100,317.65,10342,2.65,1,3,3
P09,wrist-worn,10,315,70,123.78,7830,168.78,0,4,5
P09,wrist-worn,11,270,100,153.04,11590,116.96,0,5,4
P09,wrist-worn,12,135,100,152.21,9427,17.21,1,4,3
P09,wrist-worn,13,45,70,199.97,8819,154.97,0,4,5
P09,wrist-worn,14,0,70,163.86,13043,163.86,0,5,5
P09,wrist-worn,15,45,100,127.10,9135,82.10,0,2,4